sim,ind,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
REF_AZ100,canha_secano_otros,0.0147,0.0152,0.0157,0.0164,0.0174,0.0184,0.0196,0.0211,0.0228,0.0248,0.0269,0.0308,0.035,0.0395,0.0444,0.0495,0.0532,0.0572,0.0615,0.0661,0.0711,0.0765,0.0823,0.0884,0.095,0.1022,0.1099
REF_AZ100,vegetales,0.4445,0.4467,0.4489,0.4511,0.4534,0.4556,0.4579,0.4602,0.4625,0.4648,0.4671,0.4694,0.4717,0.4741,0.4765,0.4788,0.4812,0.4836,0.486,0.4884,0.4909,0.4933,0.4958,0.4982,0.5007,0.5032,0.5057
REF_AZ100,area_riego,0.609769142,0.627830274,0.643522667,0.656376616,0.663256364,0.668598123,0.672695761,0.670972536,0.664421246,0.654005665,0.640707241,0.626562642,0.609670165,0.608493725,0.612914412,0.616543421,0.621500684,0.62567287,0.62906109,0.631666445,0.633490033,0.634349455,0.634154048,0.633088371,0.630878263,0.627433038,0.622845491
REF_AZ100,area_cultivos,8.899955857,9.006616798,9.11425097,9.222487169,9.328798591,9.437630521,9.549485953,9.660197412,9.771067023,9.883168046,9.996428174,10.11072035,10.22618931,10.3413774,10.45710919,10.57391108,10.69160777,10.81040513,10.93031884,11.05136488,11.17355934,11.29693509,11.42151686,11.54730489,11.67434089,11.80265022,11.932242
REF_AZ100,prod_azucar,0.521,0.541,0.561,0.581,0.601,0.621,0.641,0.661,0.681,0.701,0.721,0.741,0.761,0.782,0.802,0.822,0.842,0.862,0.882,0.902,0.922,0.942,0.962,0.982,1.002,1.022,1.042
REF_AZ100,prod_granos,2.843,2.885,2.929,2.973,3.017,3.062,3.108,3.155,3.202,3.25,3.299,3.349,3.399,3.45,3.502,3.554,3.607,3.662,3.716,3.772,3.829,3.886,3.945,4.004,4.064,4.125,4.187
REF_AZ100,prod_oleoginosas,0.024,0.025,0.025,0.026,0.027,0.027,0.028,0.029,0.029,0.03,0.031,0.032,0.032,0.033,0.034,0.035,0.036,0.037,0.038,0.039,0.039,0.04,0.041,0.043,0.044,0.045,0.046
REF_AZ100,elec_agr,167,171,174,178,181,183,186,189,191,193,195,197,199,202,204,207,210,212,215,217,220,222,224,227,229,231,233
REF_AZ100,cap_acumulada_cogen,0,0,0,0,5,10,15,20,26,30,35,40,45,49,54,59,64,69,74,78,83,88,93,98,103,109,114
REF_AZ100,prod_elec_bio,452,469,486,500,518,535,552,570,589,605,623,641,659,676,694,712,730,748,765,783,801,819,837,855,872,895,913
REF_AZ130,dem_sub,405.1538958,419.3061527,430.1949451,443.3628264,457.8574014,471.1954773,483.518828,493.5277328,501.0202492,507.1416216,512.4811982,520.5251352,525.1968282,532.7809057,541.3986126,549.6168165,558.4665701,566.9960654,575.0932316,582.6128609,589.816838,596.0025893,600.9227851,605.0971959,609.7444793,613.6644277,617.0674604
REF_AZ130,dem_sup,246.7670565,249.369342,252.0044003,254.0560805,256.1118498,258.0315321,259.2597364,260.2626164,260.9811829,261.6288919,262.280185,263.4518726,264.3030267,266.0022186,269.0701232,271.9766383,275.096673,278.0554003,280.9551117,283.8801919,286.6836196,290.0186314,293.9680454,298.0998274,301.0368616,303.8921194,306.5822003
REF_AZ130,dem_sub_alm,0,0,0,4.88,17.764,29.423,40.246,48.655,54.504,58.965,62.575,68.704,71.37,76.974,83.59,89.664,96.373,102.646,108.384,113.687,118.557,122.783,125.691,127.807,130.388,132.302,133.599
REF_AZ130,dem_riego,384.1919036,397.4575684,407.3394016,418.8592669,431.651085,443.1028181,453.1348894,460.5499892,465.1046221,468.2038272,470.4720395,475.851344,477.4718849,482.7964242,490.4169557,497.4662811,505.2882843,512.543352,519.2314945,525.3538403,530.9110763,535.9534307,540.2900856,544.0207858,546.9211859,548.9806608,550.2589394
